timestamp=2024-08-13T09:33:00.899077, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.482
timestamp=2024-08-13T09:33:11.056340, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.19293, battery_voltage_avg=4.14517, battery_current_now=0.184, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:33:20.740141, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.19293, battery_voltage_avg=4.14517, battery_current_now=0.184, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:33:30.820952, cpu_temp=69.832, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.19293, battery_current_now=0.0, battery_current_avg=0.184, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:33:40.726205, cpu_temp=70.37, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.19293, battery_current_now=0.0, battery_current_avg=0.184, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:33:50.998690, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.64887, charger_current_now=0.474
timestamp=2024-08-13T09:34:01.088752, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.64887, charger_current_now=0.474
timestamp=2024-08-13T09:34:11.082648, cpu_temp=70.37, battery_percentage=94, battery_voltage_now=4.179, battery_voltage_avg=4.14517, battery_current_now=0.184, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:34:21.369176, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.179, battery_voltage_avg=4.14517, battery_current_now=0.184, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:34:31.549677, cpu_temp=70.37, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.179, battery_current_now=0.092, battery_current_avg=0.184, charger_voltage_now=4.59726, charger_current_now=0.482
timestamp=2024-08-13T09:34:41.764796, cpu_temp=70.37, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.179, battery_current_now=0.092, battery_current_avg=0.184, charger_voltage_now=4.59726, charger_current_now=0.482
timestamp=2024-08-13T09:34:52.611965, cpu_temp=70.37, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.088, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.482
timestamp=2024-08-13T09:35:02.425415, cpu_temp=70.37, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.088, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.482
timestamp=2024-08-13T09:35:12.519433, cpu_temp=70.908, battery_percentage=91, battery_voltage_now=4.17303, battery_voltage_avg=4.15711, battery_current_now=0.096, battery_current_avg=0.088, charger_voltage_now=4.59726, charger_current_now=0.482
