timestamp=2024-08-11T10:39:08.119799, cpu_temp=70.908, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.91137, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=7.26113, charger_current_now=0.0
timestamp=2024-08-11T10:39:22.948036, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.81784, battery_voltage_avg=2.90938, battery_current_now=-1.088, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.642
timestamp=2024-08-11T10:39:38.446588, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.68857, charger_current_now=0.642
timestamp=2024-08-11T10:39:53.714422, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.9054, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.646
timestamp=2024-08-11T10:40:08.786387, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.80391, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.99426, charger_current_now=0.54
timestamp=2024-08-11T10:40:24.496397, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.80988, battery_voltage_avg=2.90938, battery_current_now=-1.396, battery_current_avg=0.116, charger_voltage_now=7.26113, charger_current_now=0.0
timestamp=2024-08-11T10:40:39.858676, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.52271, charger_current_now=0.312
timestamp=2024-08-11T10:40:54.833143, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.66122, charger_current_now=0.558
timestamp=2024-08-11T10:41:10.356450, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.80391, battery_current_now=0.0, battery_current_avg=-1.016, charger_voltage_now=4.66872, charger_current_now=0.636
timestamp=2024-08-11T10:41:24.471494, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.28848, charger_current_now=0.434
timestamp=2024-08-11T10:41:40.420818, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.0741, charger_current_now=0.422
timestamp=2024-08-11T10:41:56.068622, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=5.18085, charger_current_now=0.646
timestamp=2024-08-11T10:42:10.629344, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.82182, battery_current_now=0.0, battery_current_avg=-1.38, charger_voltage_now=6.09395, charger_current_now=0.56
timestamp=2024-08-11T10:42:26.359071, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.88948, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.39567, charger_current_now=0.344
timestamp=2024-08-11T10:42:41.253454, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.82779, battery_voltage_avg=2.90938, battery_current_now=-1.4, battery_current_avg=0.116, charger_voltage_now=7.22937, charger_current_now=0.0
timestamp=2024-08-11T10:42:56.292350, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.19717, charger_current_now=0.642
timestamp=2024-08-11T10:43:11.182637, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.81983, battery_current_now=0.0, battery_current_avg=-1.328, charger_voltage_now=4.64093, charger_current_now=0.552
timestamp=2024-08-11T10:43:26.138408, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.60917, charger_current_now=0.462
timestamp=2024-08-11T10:43:41.356290, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.84769, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.66078, charger_current_now=0.65
timestamp=2024-08-11T10:43:55.647060, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=7.22143, charger_current_now=0.0
timestamp=2024-08-11T10:44:11.007513, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.92132, battery_voltage_avg=2.90938, battery_current_now=0.036, battery_current_avg=0.116, charger_voltage_now=7.26113, charger_current_now=0.0
timestamp=2024-08-11T10:44:25.495055, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.92132, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.65
timestamp=2024-08-11T10:44:41.222114, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.8831, charger_current_now=0.65
timestamp=2024-08-11T10:44:55.701906, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.10145, charger_current_now=0.65
timestamp=2024-08-11T10:45:10.802609, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.81983, battery_voltage_avg=2.88948, battery_current_now=-1.168, battery_current_avg=0.0, charger_voltage_now=5.96691, charger_current_now=0.65
timestamp=2024-08-11T10:45:25.859442, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.955, charger_current_now=0.588
timestamp=2024-08-11T10:45:40.984427, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.97882, charger_current_now=0.558
timestamp=2024-08-11T10:45:56.000701, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.87157, battery_voltage_avg=2.73625, battery_current_now=0.0, battery_current_avg=-1.78, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:46:11.283649, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.8258, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.44287, charger_current_now=0.642
timestamp=2024-08-11T10:46:25.678042, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=5.77635, charger_current_now=0.644
timestamp=2024-08-11T10:46:41.202157, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.81187, battery_voltage_avg=2.90938, battery_current_now=-1.38, battery_current_avg=0.116, charger_voltage_now=7.26113, charger_current_now=0.0
timestamp=2024-08-11T10:46:55.775008, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.74222, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.05822, charger_current_now=0.65
timestamp=2024-08-11T10:47:10.424435, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.9054, battery_current_now=0.116, battery_current_avg=0.04, charger_voltage_now=6.05425, charger_current_now=0.578
timestamp=2024-08-11T10:47:25.559399, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.81784, battery_voltage_avg=2.90938, battery_current_now=-1.104, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.652
